BioWare Version 5.5.1.0 Export,,,,,,,,,,,,,,,,,,
Device:,RRI-PLATE01-AMP01 9287CA,RRI-PLATE01-AMP01 9287CA,RRI-PLATE01-AMP01 9287CA,RRI-PLATE01-AMP01 9287CA,RRI-PLATE01-AMP01 9287CA,RRI-PLATE01-AMP01 9287CA,RRI-PLATE01-AMP01 9287CA,RRI-PLATE01-AMP01 9287CA,RRI-PLATE02-AMP02 9287CA,RRI-PLATE02-AMP02 9287CA,RRI-PLATE02-AMP02 9287CA,RRI-PLATE02-AMP02 9287CA,RRI-PLATE02-AMP02 9287CA,RRI-PLATE02-AMP02 9287CA,RRI-PLATE02-AMP02 9287CA,RRI-PLATE02-AMP02 9287CA,,
Samples (#):,16350,16350,16350,16350,16350,16350,16350,16350,16350,16350,16350,16350,16350,16350,16350,16350,,
Rate (Hz):,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,2400.000000,,
Contact period start (sample #):,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Contact period end (sample #):,16349,16349,16349,16349,16349,16349,16349,16349,16349,16349,16349,16349,16349,16349,16349,16349,,
Contact period start time (s):,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
Contact period end time (s):,6.812083,6.812083,6.812083,6.812083,6.812083,6.812083,6.812083,6.812083,6.812083,6.812083,6.812083,6.812083,6.812083,6.812083,6.812083,6.812083,,
First sample time (s):,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,
Normalized force (N):,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,
Normalized length (m):,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,,
File Information,,,,,,,,,,,,,,,,,,
Date,"Jun 25, 2024  13:46:35",,,,,,,,,,,,,,,,,
Name,,,,,,,,,,,,,,,,,,
ID,,,,,,,,,,,,,,,,,,
Classification,,,,,,,,,,,,,,,,,,
Description,,,,,,,,,,,,,,,,,,
abs time (s),Fx,Fy,Fz,|Ft|,Ax,Ay,COM px,COM py,COM pz,Fx,Fy,Fz,|Ft|,Ax,Ay,COM px,COM py,COM pz
,N,N,N,N,m,m,N s,N s,N s,N,N,N,N,m,m,N s,N s,N s
0.000000,-1.063321,-1.092136,494.035357,494.037708,0.030438,-0.283963,0.000000,0.000000,0.000000,-0.014145,0.777783,-9.045049,9.078439,0.000000,0.000000,0.000000,0.000000,0.000000
0.000417,-1.384665,-0.850699,493.406786,493.409462,0.030644,-0.283231,0.000535,0.000357,0.205652,0.105909,0.617164,-9.042278,9.063934,0.000000,0.000000,-0.000036,-0.000263,-0.003811
0.000833,-1.103528,-0.649692,493.721086,493.722746,0.030327,-0.284414,0.001014,0.000653,0.411325,0.105909,0.536685,-9.668422,9.683885,0.000000,0.000000,-0.000099,-0.000492,-0.007753
0.001250,-1.103528,-0.810905,493.404349,493.406250,0.030750,-0.284133,0.001491,0.000983,0.616998,0.386055,0.536770,-9.044889,9.069023,0.000000,0.000000,-0.000216,-0.000721,-0.011587
0.001667,-1.344647,-0.850954,494.351602,494.354163,0.030178,-0.282465,0.002012,0.001329,0.822868,0.025957,0.617164,-9.358845,9.379208,0.000000,0.000000,-0.000240,-0.000987,-0.015464
0.002083,-1.022986,-0.770092,493.719126,493.720786,0.030453,-0.283731,0.002483,0.001655,1.028617,-0.134324,0.817980,-9.357882,9.394525,0.000000,0.000000,-0.000210,-0.001308,-0.019353
0.002500,-1.344584,-0.770347,493.562955,493.565388,0.030698,-0.283710,0.003015,0.001968,1.234356,0.065744,0.737713,-9.200569,9.230331,0.000000,0.000000,-0.000234,-0.001607,-0.023132
0.002917,-1.264359,-0.649565,494.668347,494.670390,0.030688,-0.283870,0.003551,0.002272,1.440325,0.226088,0.536728,-8.256062,8.276579,0.000000,0.000000,-0.000309,-0.001867,-0.026681
0.003333,-1.304503,-1.011529,493.720099,493.722859,0.031019,-0.283707,0.004080,0.002666,1.646086,0.105972,0.858177,-8.880093,8.922093,0.000000,0.000000,-0.000353,-0.002197,-0.030338
0.003750,-1.143610,-0.971481,493.402392,493.404674,0.030619,-0.283445,0.004565,0.003062,1.851692,-0.014208,0.777741,-8.887742,8.921717,0.000000,0.000000,-0.000378,-0.002512,-0.033975
0.004167,-1.103402,-0.810905,493.405325,493.407225,0.030481,-0.284579,0.005022,0.003408,2.057212,0.305788,0.576967,-7.943393,7.970188,0.000000,0.000000,-0.000458,-0.002792,-0.037416
0.004583,-1.023304,-0.770474,492.458064,492.459730,0.030666,-0.284683,0.005451,0.003749,2.262535,-0.053932,0.938571,-8.893614,8.943165,0.000000,0.000000,-0.000480,-0.003133,-0.041012
0.005000,-0.982969,-1.011657,493.406307,493.408323,0.030736,-0.283662,0.005861,0.004134,2.468087,0.225836,0.576840,-8.258175,8.281377,0.000000,0.000000,-0.000543,-0.003426,-0.044497
0.005417,-0.942825,-0.730044,493.877256,493.878696,0.030770,-0.283310,0.006254,0.004455,2.673947,0.065618,0.978683,-8.255252,8.313322,0.000000,0.000000,-0.000599,-0.003784,-0.047893
0.005833,-0.902617,-0.689741,495.457989,495.459291,0.031069,-0.282857,0.006641,0.004765,2.880157,0.305977,0.657403,-7.627811,7.662199,0.000000,0.000000,-0.000712,-0.004085,-0.051181
0.006250,-1.023113,-0.971609,493.719123,493.721139,0.030453,-0.284158,0.007062,0.005153,3.086005,0.345890,0.737797,-8.576371,8.614994,0.000000,0.000000,-0.000837,-0.004393,-0.054732
0.006667,-1.063194,-1.011784,493.878234,493.880415,0.030784,-0.284622,0.007496,0.005566,3.291689,0.105783,0.817980,-9.203508,9.240392,0.000000,0.000000,-0.000903,-0.004725,-0.058413
0.007083,-0.983096,-0.930923,492.615697,492.617558,0.030720,-0.285809,0.007931,0.005943,3.497176,0.185923,0.777825,-7.622434,7.664273,0.000000,0.000000,-0.000967,-0.005052,-0.061711
0.007500,-1.264042,-0.690123,494.667862,494.669958,0.030554,-0.283419,0.008427,0.006255,3.703134,0.065807,0.777867,-7.787397,7.826427,0.000000,0.000000,-0.001014,-0.005385,-0.065009
0.007917,-1.103592,-0.810650,494.510236,494.512132,0.030614,-0.283832,0.008895,0.006565,3.909191,0.225962,0.898289,-8.725368,8.774397,0.000000,0.000000,-0.001088,-0.005737,-0.068624
0.008333,-1.063448,-0.528656,494.509731,494.511157,0.030877,-0.282746,0.009333,0.006813,4.115225,0.105783,0.697516,-9.361626,9.388171,0.000000,0.000000,-0.001157,-0.006036,-0.072491
0.008750,-0.942761,-0.649565,494.350144,494.351470,0.030809,-0.284277,0.009745,0.007078,4.321205,0.345953,0.617122,-9.520218,9.546470,0.000000,0.000000,-0.001285,-0.006318,-0.076414
0.009167,-1.103465,-0.689741,494.193982,494.195695,0.030499,-0.283803,0.010185,0.007369,4.527141,0.346016,0.898247,-9.042119,9.093211,0.000000,0.000000,-0.001415,-0.006661,-0.080203
0.009583,-0.982842,-0.769838,494.352110,494.353686,0.030409,-0.282697,0.010603,0.007695,4.733088,0.146011,0.737797,-8.881691,8.913479,0.000000,0.000000,-0.001473,-0.006974,-0.083948
0.010000,-0.982842,-0.931178,494.036357,494.038212,0.031368,-0.283311,0.011021,0.008058,4.939046,-0.094159,0.657403,-9.358837,9.382370,0.000000,0.000000,-0.001467,-0.007243,-0.087760
0.010417,-1.103592,-0.730044,495.298373,495.300141,0.030230,-0.283054,0.011470,0.008379,5.145223,0.145822,0.496615,-8.572954,8.588564,0.000000,0.000000,-0.001514,-0.007447,-0.091387
0.010833,-1.063384,-0.770474,493.722551,493.724298,0.030322,-0.283729,0.011927,0.008697,5.351105,0.185923,0.295757,-8.572954,8.580068,0.000000,0.000000,-0.001600,-0.007606,-0.095079
0.011250,-1.224088,-0.770092,494.509239,494.511354,0.030492,-0.283166,0.012403,0.009026,5.557052,0.346016,0.617164,-10.306911,10.331168,0.000000,0.000000,-0.001711,-0.007827,-0.099111
0.011667,-0.902617,-0.890493,493.878717,493.880345,0.030900,-0.283740,0.012810,0.009386,5.762944,0.025831,0.416221,-8.261909,8.272426,0.000000,0.000000,-0.001758,-0.008020,-0.102783
0.012083,-1.023240,-0.850954,494.825972,494.827761,0.030184,-0.283199,0.013239,0.009735,5.968957,0.225711,0.496531,-9.516143,9.531761,0.000000,0.000000,-0.001832,-0.008238,-0.106639
0.012500,-1.183880,-0.729535,493.402874,493.404833,0.030758,-0.283918,0.013721,0.010045,6.174641,0.146011,0.737628,-9.200229,9.230906,0.000000,0.000000,-0.001887,-0.008518,-0.110516
0.012917,-1.183944,-0.689868,493.404346,493.406249,0.031027,-0.284146,0.014192,0.010346,6.380248,-0.014271,0.577009,-9.517304,9.534790,0.000000,0.000000,-0.001904,-0.008775,-0.114460
0.013333,-0.862536,-0.850699,493.717656,493.719142,0.030839,-0.283725,0.014574,0.010692,6.585974,0.145885,0.657234,-9.517954,9.541734,0.000000,0.000000,-0.001945,-0.009043,-0.118426
0.013750,-0.862283,-0.890748,494.192508,494.194063,0.031010,-0.283113,0.014961,0.011063,6.791910,0.026020,0.657234,-9.517313,9.540015,0.000000,0.000000,-0.001967,-0.009311,-0.122402
0.014167,-1.264105,-0.931051,494.984602,494.987092,0.030400,-0.283212,0.015443,0.011448,6.998098,0.065933,0.577009,-9.674118,9.691535,0.000000,0.000000,-0.001986,-0.009568,-0.126378
0.014583,-1.023304,-0.931178,494.980673,494.982606,0.030375,-0.283214,0.015881,0.011825,7.204253,-0.014208,0.737713,-9.044231,9.074279,0.000000,0.000000,-0.001986,-0.009873,-0.130234
0.015000,-0.942761,-0.770092,493.719610,493.721111,0.030310,-0.284178,0.016279,0.012157,7.410079,-0.014208,0.858135,-9.673307,9.711306,0.000000,0.000000,-0.001983,-0.010197,-0.134298
0.015417,-0.942952,-0.769838,494.032909,494.034409,0.030291,-0.283998,0.016692,0.012498,7.615817,0.025831,0.496615,-10.775271,10.786740,0.000000,0.000000,-0.001985,-0.010443,-0.138547
0.015833,-1.223961,-1.052215,492.771363,492.774006,0.030667,-0.284472,0.017174,0.012903,7.821324,-0.054184,0.697431,-8.415162,8.444187,0.000000,0.000000,-0.001979,-0.010706,-0.142327
0.016250,-1.103465,-0.850699,494.194469,494.196434,0.030097,-0.284232,0.017645,0.013251,8.027173,0.105783,0.496573,-9.994107,10.006995,0.000000,0.000000,-0.002012,-0.010955,-0.146293
0.016667,-1.143736,-0.568831,494.666385,494.668034,0.030139,-0.282985,0.018116,0.013525,8.233185,0.105783,0.898543,-8.729444,8.776204,0.000000,0.000000,-0.002048,-0.011268,-0.150030
0.017083,-1.103465,-0.810396,493.720587,493.722485,0.030596,-0.284174,0.018570,0.013851,8.438913,-0.014271,0.416264,-8.888379,8.898132,0.000000,0.000000,-0.002070,-0.011494,-0.153755
0.017500,-0.982969,-0.890874,492.930954,492.932740,0.031103,-0.284510,0.018979,0.014225,8.644410,0.265686,0.697600,-9.358845,9.388569,0.000000,0.000000,-0.002142,-0.011743,-0.157611
0.017917,-0.862473,-1.011403,493.719119,493.720908,0.029898,-0.283257,0.019372,0.014644,8.850105,-0.014082,0.375982,-9.204136,9.211823,0.000000,0.000000,-0.002150,-0.011944,-0.161511
0.018333,-1.224278,-1.092009,494.193000,494.195723,0.030512,-0.284208,0.019843,0.015071,9.056019,-0.094159,0.697558,-9.990191,10.014958,0.000000,0.000000,-0.002146,-0.012204,-0.165433
0.018750,-1.023050,-0.770092,494.666393,494.668051,0.030528,-0.282741,0.020289,0.015395,9.262009,0.346079,0.576925,-7.313349,7.344228,0.000000,0.000000,-0.002246,-0.012447,-0.168819
0.019167,-1.103402,-0.488607,493.404360,493.405836,0.030615,-0.283942,0.020732,0.015637,9.467638,0.145885,0.496742,-9.516152,9.530225,0.000000,0.000000,-0.002318,-0.012668,-0.172654
0.019583,-0.942825,-0.770092,492.774310,492.775814,0.030638,-0.284948,0.021150,0.015927,9.673180,0.105909,0.617079,-9.835521,9.855429,0.000000,0.000000,-0.002365,-0.012920,-0.176664
0.020000,-1.143546,-0.609516,495.296907,495.298603,0.030235,-0.283736,0.021613,0.016223,9.879203,0.105972,0.657361,-8.888227,8.913132,0.000000,0.000000,-0.002401,-0.013183,-0.180466
0.020417,-1.143672,-1.052087,492.773822,492.776272,0.030524,-0.284919,0.022089,0.016614,10.084690,-0.014208,0.536855,-9.356414,9.371814,0.000000,0.000000,-0.002409,-0.013426,-0.184376
0.020833,-1.143546,-0.810268,492.613242,492.615235,0.031274,-0.284254,0.022560,0.016963,10.290033,0.065870,0.697600,-9.992163,10.016702,0.000000,0.000000,-0.002433,-0.013708,-0.188407
0.021250,-1.063384,-0.730044,493.720099,493.721784,0.029786,-0.283957,0.022989,0.017289,10.495673,0.105972,0.737713,-8.731245,8.762995,0.000000,0.000000,-0.002472,-0.014010,-0.192034
0.021667,-0.782121,-0.971226,493.720099,493.721674,0.030696,-0.284158,0.023360,0.017669,10.701400,0.065933,0.697431,-7.308949,7.342445,0.000000,0.000000,-0.002516,-0.014303,-0.195288
0.022083,-1.143546,-0.850699,493.876761,493.878818,0.030389,-0.284191,0.023800,0.018024,10.907128,0.265938,0.697346,-8.884489,8.915781,0.000000,0.000000,-0.002605,-0.014580,-0.198880
0.022500,-0.982906,-0.730171,493.245242,493.246762,0.030813,-0.283449,0.024235,0.018347,11.112680,0.145759,0.496615,-8.888067,8.903124,0.000000,0.000000,-0.002668,-0.014801,-0.202638
0.022917,-1.183690,-0.891257,493.088102,493.090328,0.031181,-0.284532,0.024694,0.018696,11.318177,0.065744,0.496446,-9.673958,9.686911,0.000000,0.000000,-0.002699,-0.015041,-0.206560
0.023333,-0.902744,-0.729407,493.562969,493.564333,0.031055,-0.284387,0.025093,0.019017,11.523861,0.025831,0.978810,-8.887426,8.941201,0.000000,0.000000,-0.002720,-0.015396,-0.210339
0.023750,-0.942889,-0.810396,494.508260,494.509823,0.031000,-0.284505,0.025477,0.019349,11.729785,0.145885,0.697516,-9.200887,9.228442,0.000000,0.000000,-0.002773,-0.015714,-0.214064
0.024167,-0.862410,-0.810396,493.720108,493.721526,0.030705,-0.284623,0.025856,0.019689,11.935546,0.145885,0.818064,-7.942257,7.985610,0.000000,0.000000,-0.002839,-0.016025,-0.217602
0.024583,-1.063257,-0.850317,493.559043,493.560921,0.030399,-0.283703,0.026268,0.020049,12.141218,0.226025,0.496531,-9.986935,10.001825,0.000000,0.000000,-0.002933,-0.016265,-0.221567
0.025000,-0.822266,-0.971226,493.719121,493.720761,0.030297,-0.283486,0.026622,0.020421,12.346934,0.306040,0.657361,-9.202525,9.231048,0.000000,0.000000,-0.003047,-0.016533,-0.225500
0.025417,-0.741914,-0.608880,493.877734,493.878667,0.031017,-0.283547,0.026934,0.020705,12.552661,0.185861,0.737628,-9.834365,9.863741,0.000000,0.000000,-0.003147,-0.016821,-0.229477
0.025833,-0.701770,-0.689868,493.243786,493.244768,0.030650,-0.283902,0.027252,0.020984,12.758224,0.386055,0.536643,-8.729625,8.754620,0.000000,0.000000,-0.003282,-0.017073,-0.233169
0.026250,-1.023113,-0.649692,493.245746,493.247235,0.030818,-0.284129,0.027658,0.021263,12.963808,0.225962,0.737586,-8.415162,8.450446,0.000000,0.000000,-0.003377,-0.017363,-0.236741
0.026667,-1.063194,-0.730171,494.191037,494.192720,0.030630,-0.284024,0.028093,0.021579,13.169546,0.065933,0.697473,-9.043247,9.070343,0.000000,0.000000,-0.003412,-0.017657,-0.240531
0.027083,-0.982906,-0.971481,492.614713,492.616651,0.029777,-0.284681,0.028511,0.021950,13.374912,0.025894,0.697431,-9.989879,10.014228,0.000000,0.000000,-0.003459,-0.017944,-0.244529
0.027500,-1.023050,-0.730044,492.614711,492.616314,0.030588,-0.284260,0.028940,0.022268,13.580211,0.506108,0.657319,-8.573123,8.613167,0.000000,0.000000,-0.003629,-0.018227,-0.248287
0.027917,-1.103528,-0.689868,493.245726,493.247443,0.030826,-0.283229,0.029400,0.022561,13.785731,0.386055,0.737670,-9.832084,9.867273,0.000000,0.000000,-0.003798,-0.018503,-0.252274
0.028333,-1.184007,-0.730044,493.876754,493.878713,0.030527,-0.283981,0.029868,0.022851,13.991403,0.385866,0.376109,-9.511591,9.526842,0.000000,0.000000,-0.003942,-0.018693,-0.256315
0.028750,-0.902491,-0.569468,492.930964,492.932119,0.030824,-0.283646,0.030272,0.023119,14.196933,0.145948,0.496615,-10.304655,10.317647,0.000000,0.000000,-0.004039,-0.018898,-0.260400
0.029167,-1.023113,-0.850954,494.032905,494.034697,0.030434,-0.283766,0.030679,0.023446,14.402682,0.425967,0.576967,-8.096970,8.128669,0.000000,0.000000,-0.004194,-0.019141,-0.263906
0.029583,-0.862410,-0.730044,493.718136,493.719429,0.030300,-0.282617,0.031049,0.023770,14.608475,0.385929,0.697558,-7.785427,7.826136,0.000000,0.000000,-0.004347,-0.019415,-0.267291
0.030000,-0.862473,-0.891002,494.509732,494.511287,0.030455,-0.283824,0.031417,0.024113,14.814432,0.225899,0.576967,-9.516819,9.536969,0.000000,0.000000,-0.004443,-0.019669,-0.271093
